Cre Account,Cre Name,PO No,Invoice No,Invoice total,Sub Total,Invoice Date,Uploaded Date
ADVANCEDL,Advanced Lighting Technologies,1539808,35009,181.26,161.12,30/05/2008,30:15.6
AFLEX,Aflex Cable Sales NZ,1522648,133584,1023.57,909.84,8/5/2008,30:15.6
AFLEX,Aflex Cable Sales NZ,1535158,134259,2560.62,2276.11,23/05/2008,30:15.6
ALCO,Alco Products,1518290,825640,1826.6,1623.64,2/5/2008,30:15.6
ALLSALES,Allsales Agencies Ltd,0,36811,-8.94,-7.95,22/05/2008,30:15.6
AMPY,Ampy Email (NZ) Ltd,1538029,IN115793,16.21,14.41,26/05/2008,30:15.6
ARROWH,Arrowhead Alarm Products Ltd,1522918,112324,93.94,83.5,8/5/2008,30:15.6
ASSOCIAT,Associated Insulation,1532560,195486,12528,11136,23/05/2008,30:15.6
ATCO,Tridonic Atco NZ Ltd,1531350,453277,324.45,288.4,19/05/2008,30:15.6
AUDIOP,Audio Products Group,1534124,551064:1,243,216,21/05/2008,30:15.6
BALCOM,Balcom Products Ltd,1535992,11852,113.2,100.62,22/05/2008,30:15.6
BOWERSW,B&W Bowers & Wilkens,1490384AC,39908,-1131.75,-1006,15/05/2008,30:15.6
BURKERT,Burket Contromatic NZ Ltd,1532188,821229,207.29,184.26,19/05/2008,30:15.6
CARREL,Carrel & Carrel Ltd,1539514,299360-00,178.76,158.9,30/05/2008,30:15.6
CHEMZ,Chemz Ltd,1535970,23055,128.25,114,23/05/2008,30:15.6
CLIPSAL,Clipsal Industries (NZ) Ltd,1518246,448037,34.16,30.36,2/5/2008,30:15.6
CLIPSAL,Clipsal Industries (NZ) Ltd,1338007AA,448728,-108.11,-96.1,7/5/2008,30:15.6
CLIPSAL,Clipsal Industries (NZ) Ltd,1524382,449560,43.12,38.33,12/5/2008,30:15.6
CLIPSAL,Clipsal Industries (NZ) Ltd,1526299,449984,868.26,771.79,13/05/2008,30:15.6
CLIPSAL,Clipsal Industries (NZ) Ltd,1514867AB,450925,64.5,57.33,19/05/2008,30:15.6
CLIPSAL,Clipsal Industries (NZ) Ltd,1464839AC,451636,-15.51,-13.79,22/05/2008,30:15.6
CLIPSAL,Clipsal Industries (NZ) Ltd,1524179AE,452239,18.9,16.8,26/05/2008,30:15.6
CLIPSAL,Clipsal Industries (NZ) Ltd,1436152AA,453226,-367.66,-326.81,30/05/2008,30:15.6
COMPDYNA,Computer Dynamics Limited,1522131,SIN538177,123.75,110,7/5/2008,30:15.6
COMPDYNA,Computer Dynamics Limited,1532554,SIN541199,38.35,34.09,19/05/2008,30:15.6
CONTACTINV,Contact Energy Invercargill,0,JUNE08INV,1097.66,975.7,6/6/2008,30:15.6
CSL,Cuthbert Stewart Ltd,1517188,467240,23.02,20.46,23/05/2008,30:15.6
CSL,Cuthbert Stewart Ltd,1524398,468753,93.93,83.49,9/5/2008,30:15.6
CSL,Cuthbert Stewart Ltd,1530602,470118,83.54,74.26,16/05/2008,30:15.6
CSL,Cuthbert Stewart Ltd,1535168,471363,146.54,130.26,22/05/2008,30:15.6
CSL,Cuthbert Stewart Ltd,1541463,472931,10.61,9.43,30/05/2008,30:15.6
DIFFUSER,Diffusers & Lighting Ltd,1493634AA,SC2070,-40.68,-36.16,14/05/2008,30:15.6
ECCO,Ecco NZ Ltd,1519780,873365,457.04,406.26,5/5/2008,30:15.6
ECCO,Ecco NZ Ltd,1537632,875163,103.78,92.25,26/05/2008,30:15.6
ELECTIMP,Electrical Importing Co Ltd,1522690,57609-D01,64.87,57.66,8/5/2008,30:15.6
ELECTRAD,Electrade New Zealand Ltd,1523459,767709,4950,4400,9/5/2008,30:15.6
ELECTREX,Electrex Manufacturing Ltd,1519339,113606,367.67,326.82,5/5/2008,30:15.6
ELECTREX,Electrex Manufacturing Ltd,0,CR113302,-135.54,-120.48,2/5/2008,30:15.6
ELECTROP,Electropar Ltd,1536891,9582,367.76,326.9,23/05/2008,30:15.6
ELECTSUP,Electrical Supply Corp,0,HC213117,-26.9,-23.91,29/05/2008,30:15.6
ELECTSUP,Electrical Supply Corp,1503754AB,HI722120,16.81,14.94,14/05/2008,30:15.6
ELECTSUP,Electrical Supply Corp,1522735,HI722854,39.35,34.98,8/5/2008,30:15.6
ELECTSUP,Electrical Supply Corp,1524203,HI723144,555.4,493.69,9/5/2008,30:15.6
ELECTSUP,Electrical Supply Corp,1528511,HI723939,214.99,191.1,14/05/2008,30:15.6
ELECTSUP,Electrical Supply Corp,1532909,HI724734,46.42,41.26,20/05/2008,30:15.6
