Cre Account,Cre Name
 DHL,DHL INTERNATIONAL LTD
 ZIPPY,ZIPPY FREIGHT LTD
@YOUR,@ YOUR REQUEST
@YOURREQ,@ YOUR REQUEST
1STCALLREC,1st Call Recruitment
1STLOCK,1ST LOCKSMITHS MOBILE SERVICE
1STMAINT,1ST MAINTENANCE LTD
2STORLTD,2STOR LTD
2WAYINDUST,2Way Industries Ltd
3DMARINE,3D MARINE DEVELOPMENT LTD
3EENERGY,3E Energy Ltd
3GUYS,3 Guys Gas Limited
3M,3M NEW ZEALAND LTD
3WAY,3Way Solutions Ltd
4HILLS, 4 Hill's Distributors
4HILLS,4 HILL'S DISTRIBUTORS
4LEAF,4 LEAF CLOVER
630INTER,6:30 INTERNET SERVICES
630INTER,Eurovac Southland Limited
A-GRADE,A-GRADE AUTOMOTIVE
A1CONTAINE,A1 Containers NZ Limited
A1DOOR,AI DOOR REPAIRS BOP
A1DOORS,A1 DOOR REPAIRS BOP
A1EMBROID,A1 EMBROIDERY &SCREENPRINT LTD
A1FIRSTAID,A1 FIRST AID LTD
A1LAWNS,A 1 Lawns
A1SEC,A1 Security Ltd
AAL,AAL GROUP
AARON,Aaron Ryan Motors
AARONCLARK,AARON CLARK TYRES
AARONREAR,AARON REARDON BUILDING
ABAJSUPP,SWAMI NARAYAN LTD
ABBCONT,ABB Controls Ltd
ABBEYL,ABBEY LODGE
ABBLTD,ABB Ltd
ABBOTTS,Abbots Drain Unblockers
ABBOUT,ABBOUT PLUMBING LTD
ABBPGNZ,ABB - Hitachi Energy NZ Ltd
ABBPGNZ,ABB Power Grids New Zealand
ABBPOWER,ABB Power Quality
ABBPOWHIT,ABB POWR GRIDS NZ LTD
ABBSERV,ABB SERVICE DIVISION
ABD,ABD Group
ABEL,ABEL ELECTRICAL LTD
ABELPL,ABEL PLUMBING & ROOFING
ABEQUIPM,AB Equipment Ltd
ABEQUIPWH,AB Equipment Ltd Whangarei
ABER,A Brown Energy Resources Ltd
ABERN,ABERNETHY HOLDINGS LIMITED
ABLEBM,ABLE BUSINESS MACHINES
ABLEMETAL,Abel Metal Products 2007 Ltd
ABLESOLA,ABLE SOLAR
ABOVE,Above & Beyond
ABSLTD,Alternative Backup Solutions
ABSOLUM,G R Absolum Electrical Service
ABSOLUM,G.R.ABSOLUM ELECTRICAL SERVICE
ABSOLUTESE,Absolute Security
ABTEC,ABTEC NZ 1993 LTD
